file_name,filmnr_negativnr,filnavn_a,filnavn_b
USD_UNIHIST_BREV_410459.tif,AAstrand301160s2.tif,AAstrand301160s2.tif,
USD_UNIHIST_BREV_410469.tif,AAstrand301160s3.tif,AAstrand301160s3.tif,
USD_UNIHIST_BREV_410427.tif,AAstrand301160s4.tif,AAstrand301160s4.tif,
USD_UNIHIST_BREV_410562.tif,AAstrandArtikkels1.tif,AAstrandArtikkels1.tif,
USD_UNIHIST_BREV_410697.tif,AAstrandArtikkels10.tif,AAstrandArtikkels10.tif,
USD_UNIHIST_BREV_410712.tif,AAstrandArtikkels11.tif,AAstrandArtikkels11.tif,
USD_UNIHIST_BREV_410726.tif,AAstrandArtikkels12.tif,AAstrandArtikkels12.tif,
USD_UNIHIST_BREV_410554.tif,AAstrandArtikkels13.tif,AAstrandArtikkels13.tif,
USD_UNIHIST_BREV_410569.tif,AAstrandArtikkels2.tif,AAstrandArtikkels2.tif,
USD_UNIHIST_BREV_410581.tif,AAstrandArtikkels3.tif,AAstrandArtikkels3.tif,
USD_UNIHIST_BREV_410601.tif,AAstrandArtikkels4.tif,AAstrandArtikkels4.tif,
USD_UNIHIST_BREV_410618.tif,AAstrandArtikkels5.tif,AAstrandArtikkels5.tif,
USD_UNIHIST_BREV_410635.tif,AAstrandArtikkels6.tif,AAstrandArtikkels6.tif,
USD_UNIHIST_BREV_410652.tif,AAstrandArtikkels7.tif,AAstrandArtikkels7.tif,
USD_UNIHIST_BREV_410669.tif,AAstrandArtikkels8.tif,AAstrandArtikkels8.tif,
USD_UNIHIST_BREV_410684.tif,AAstrandArtikkels9.tif,AAstrandArtikkels9.tif,
USD_UNIHIST_BREV_361612.tif,Agardh140552f.tif,Agardh140552f.tif,
USD_UNIHIST_BREV_361631.tif,Agardh140552s1.tif,Agardh140552s1.tif,
USD_UNIHIST_BREV_361647.tif,Agardh140552s2.tif,Agardh140552s2.tif,
USD_UNIHIST_BREV_361596.tif,Agardh140552s3.tif,Agardh140552s3.tif,
USD_UNIHIST_BREV_361814.tif,Agardh240250f.tif,Agardh240250f.tif,
USD_UNIHIST_BREV_361793.tif,Agardh240250s1.tif,Agardh240250s1.tif,
