"foto_kort_id","mediagruppe_enhets_id","file_name","filmnr_negativnr"
17,1876351,USD_UNIHIST_BREV_111425.tif,BoeckUdatert2s2.tif
17,1876359,USD_UNIHIST_BREV_111429.tif,BoeckUdatert2s1.tif
19,1890779,USD_UNIHIST_BREV_116632.tif,Bond130651s1.tif
19,1890798,USD_UNIHIST_BREV_116640.tif,Bond130651s2.tif
19,1890822,USD_UNIHIST_BREV_116649.tif,Bond130651s3.tif
19,1890753,USD_UNIHIST_BREV_116621.tif,Bond130651f.tif
19,1890731,USD_UNIHIST_BREV_116612.tif,Bond130651s4.tif
20,1891949,USD_UNIHIST_BREV_117073.tif,Bond141162s1.tif
20,1891931,USD_UNIHIST_BREV_117065.tif,Bond141162s2.tif
21,1892935,USD_UNIHIST_BREV_117447.tif,BuggeTilxx28091792s3.tif
21,1892895,USD_UNIHIST_BREV_117431.tif,BuggeTilxx28091792s2.tif
21,1892855,USD_UNIHIST_BREV_117415.tif,BuggeTilxx28091792s1.tif
21,1892815,USD_UNIHIST_BREV_117399.tif,BuggeTilxx28091792s4.tif
22,1893743,USD_UNIHIST_BREV_117754.tif,Busch210851s2.tif
22,1893655,USD_UNIHIST_BREV_117718.tif,Busch210851s3.tif
22,1893711,USD_UNIHIST_BREV_117741.tif,Busch210851s1.tif
22,1893679,USD_UNIHIST_BREV_117728.tif,Busch210851f.tif
23,1894711,USD_UNIHIST_BREV_118118.tif,Buys-Ballot050966s3.tif
23,1894783,USD_UNIHIST_BREV_118147.tif,Buys-Ballot050966s2.tif
23,1894751,USD_UNIHIST_BREV_118134.tif,Buys-Ballot050966s1.tif
24,1895400,USD_UNIHIST_BREV_118380.tif,Buys-Ballot160763s1.tif
24,1900651,USD_UNIHIST_BREV_120382.tif,Buys-Ballot160763s2.tif
25,1896429,USD_UNIHIST_BREV_118769.tif,Buys-Ballot210264s2.tif
25,1896399,USD_UNIHIST_BREV_118757.tif,Buys-Ballot210264s1.tif
25,1896367,USD_UNIHIST_BREV_118744.tif,Buys-Ballot210264s4.tif
25,1896455,USD_UNIHIST_BREV_118780.tif,Buys-Ballot210264s3.tif
27,1897166,USD_UNIHIST_BREV_119048.tif,Buys-BallotUdatert1s3.tif
27,1897216,USD_UNIHIST_BREV_119068.tif,Buys-BallotUdatert1s2.tif
27,1897191,USD_UNIHIST_BREV_119058.tif,Buys-BallotUdatert1s1.tif
28,1897367,USD_UNIHIST_BREV_119126.tif,Buys-BallotUdatert2s4.tif
28,1897415,USD_UNIHIST_BREV_119146.tif,Buys-BallotUdatert2s2.tif
28,1897423,USD_UNIHIST_BREV_119150.tif,Buys-BallotUdatert2s3.tif
28,1897395,USD_UNIHIST_BREV_119138.tif,Buys-BallotUdatert2s1.tif
29,1897455,USD_UNIHIST_BREV_119166.tif,Buys-BallotUdatert3s3.tif
29,1897447,USD_UNIHIST_BREV_119162.tif,Buys-BallotUdatert3s2.tif
29,1897439,USD_UNIHIST_BREV_119158.tif,Buys-BallotUdatert3s1.tif
29,1897431,USD_UNIHIST_BREV_119154.tif,Buys-BallotUdatert3s4.tif
30,1897491,USD_UNIHIST_BREV_119182.tif,Böcker130631s3.tif
30,1897483,USD_UNIHIST_BREV_119178.tif,Böcker130631s2.tif
30,1897467,USD_UNIHIST_BREV_119170.tif,Böcker130631s4.tif
30,1897475,USD_UNIHIST_BREV_119174.tif,Böcker130631s1.tif
31,1897507,USD_UNIHIST_BREV_119190.tif,Buys-Ballot000055s1.tif
31,1897499,USD_UNIHIST_BREV_119186.tif,Buys-Ballot000055s2.tif
32,1900371,USD_UNIHIST_BREV_120250.tif,Buys-Ballot050459s3.tif
32,1900379,USD_UNIHIST_BREV_120254.tif,Buys-Ballot050459f.tif
32,1900395,USD_UNIHIST_BREV_120262.tif,Buys-Ballot050459s2.tif
32,1900387,USD_UNIHIST_BREV_120258.tif,Buys-Ballot050459s1.tif
33,1900411,USD_UNIHIST_BREV_120266.tif,Buys-Ballot080255s3.tif
33,1900435,USD_UNIHIST_BREV_120278.tif,Buys-Ballot080255s2.tif
33,1900427,USD_UNIHIST_BREV_120274.tif,Buys-Ballot080255s1.tif
33,1900419,USD_UNIHIST_BREV_120270.tif,Buys-Ballot080255f.tif
34,1900447,USD_UNIHIST_BREV_120282.tif,Buys-Ballot100768s1.tif
35,1900455,USD_UNIHIST_BREV_120286.tif,Buys-Ballot130454s3.tif
35,1900471,USD_UNIHIST_BREV_120294.tif,Buys-Ballot130454s2.tif
35,1900463,USD_UNIHIST_BREV_120290.tif,Buys-Ballot130454s1.tif
36,1900483,USD_UNIHIST_BREV_120298.tif,Buys-Ballot140962s3.tif
36,1900507,USD_UNIHIST_BREV_120310.tif,Buys-Ballot140962s2.tif
36,1900499,USD_UNIHIST_BREV_120306.tif,Buys-Ballot140962s1.tif
36,1900491,USD_UNIHIST_BREV_120302.tif,Buys-Ballot140962f.tif
